COD_MUN,NO_MUN,ETNIA,Total_Population
3548708,São Bernardo do Campo,Amarela,14956.60292484764
3548708,São Bernardo do Campo,Branca,490175.4471675134
3548708,São Bernardo do Campo,Ignorado,152.8684036094108
3548708,São Bernardo do Campo,Indígena,1049.4047447876994
3548708,São Bernardo do Campo,Parda,220232.62787987935
3548708,São Bernardo do Campo,Preta,38896.048879359834
3549904,São José dos Campos,Amarela,9285.668604315868
3549904,São José dos Campos,Branca,457169.7915095893
3549904,São José dos Campos,Ignorado,91.7120673122269
3549904,São José dos Campos,Indígena,351.2383276523147
3549904,São José dos Campos,Parda,136216.81176486204
3549904,São José dos Campos,Preta,26805.77772622542
3550308,São Paulo,Amarela,250145.6651695209
3550308,São Paulo,Branca,6823003.777741064
3550308,São Paulo,Ignorado,2890.78143889588
3550308,São Paulo,Indígena,12958.594948969945
3550308,São Paulo,Parda,3447289.5525012636
3550308,São Paulo,Preta,717214.6282002921
3552205,Sorocaba,Amarela,5679.496907983481
3552205,Sorocaba,Branca,434776.6331598824
3552205,Sorocaba,Ignorado,15.5958666854745
3552205,Sorocaba,Indígena,886.4757839933357
3552205,Sorocaba,Parda,121251.20147968004
3552205,Sorocaba,Preta,24015.596801780044
4106902,Curitiba,Amarela,23888.02649575778
4106902,Curitiba,Branca,1380011.5993114659
4106902,Curitiba,Ignorado,126.4356691699366
4106902,Curitiba,Indígena,2420.866577138748
4106902,Curitiba,Parda,296139.6062564532
4106902,Curitiba,Preta,49320.465690017154
4113700,Londrina,Amarela,18312.40885535508
4113700,Londrina,Branca,356990.4277989853
4113700,Londrina,Ignorado,77.0911066750204
4113700,Londrina,Indígena,667.8547251593499
4113700,Londrina,Parda,110423.28174420419
4113700,Londrina,Preta,20229.935769620217
4209102,Joinville,Amarela,2034.9776623525786
4209102,Joinville,Branca,440742.70463561255
4209102,Joinville,Indígena,689.2245854326269
4209102,Joinville,Parda,58984.29241098411
4209102,Joinville,Preta,12836.800705620328
4314902,Porto Alegre,Amarela,4432.364582265119
4314902,Porto Alegre,Branca,1119043.922807664
4314902,Porto Alegre,Indígena,4117.356993711118
4314902,Porto Alegre,Parda,140612.0149624297
4314902,Porto Alegre,Preta,141145.34065393131
5002704,Campo Grande,Amarela,13121.263080530638
5002704,Campo Grande,Branca,393374.0498187894
5002704,Campo Grande,Ignorado,82.7392551827673
5002704,Campo Grande,Indígena,5271.979486610406
5002704,Campo Grande,Parda,333554.63972821616
5002704,Campo Grande,Preta,41392.32863067164
5103403,Cuiabá,Amarela,8263.466624470415
5103403,Cuiabá,Branca,180949.83611780647
5103403,Cuiabá,Ignorado,19.6243191438143
